Fermata autobus Muredei Benevoli, Trento Italy
Fermata autobus Romagnano Fontanelle, Trento Italy
Fermata autobus Ghiaie Zona Ind.Le Ftm, Trento Italy
Fermata autobus Mesiano Fac. Ingegneria, Trento Italy
Fermata autobus Povo Sommarive, Trento Italy
Fermata autobus Giardini Collina, Trento Italy
46.052882738999266, 11.129780889573281
Fermata autobus Gramsci Materna La Clarina, Trento Italy
Fermata autobus Gazzadina Strada Vecchia, Trento Italy
Fermata autobus Zambra Top Center, Trento Italy
Fermata autobus Sp 131 Al Maso Specchio, Trento Italy
Fermata autobus Barbacovi Itg Pozzo, Trento Italy
46.07303660343568, 11.128401672795041
Fermata autobus Degasperi Anna Frank, Trento Italy
Fermata autobus Lunelli Centochiavi, Trento Italy
Fermata autobus Roncafort Bettine, Trento Italy
Fermata autobus S.Pio X Largo Prati, Trento Italy
Fermata autobus Lavis Cantina La-Vis, Trento Italy
Fermata autobus Mattarello Piazza Perini, Trento Italy
Fermata autobus Cognola Grezoni, Trento Italy
Fermata autobus Brescia Villa Salvotti, Trento Italy
Fermata autobus Melta Case Itea, Trento Italy
Fermata autobus Lamar Ponte Avisio, Trento Italy
Fermata autobus Brescia Ca Dei Gai, Trento Italy
Fermata autobus Montevaccino di Sotto, Trento Italy
Fermata autobus Fermi La Clarina, Trento Italy
Fermata autobus Martignano Cesarini, Trento Italy
Fermata autobus Mattarello Sud, Trento Italy
Fermata autobus Avancini Laste, Trento Italy
Fermata autobus Zell Marnighe, Trento Italy
Fermata autobus Spini Varsavia, Trento Italy
Fermata autobus Romagnosi Vannetti, Trento Italy
Fermata autobus Dos Trento Centro Sportivo, Trento Italy
Fermata autobus Ss 12 Bivio Meano, Trento Italy
Fermata autobus Vela Alla Scala, Trento Italy
Fermata autobus Maso Bolleri, Trento Italy
Fermata autobus Fersina Zona Sportiva, Trento Italy
Fermata autobus Verdi Inama, Trento Italy
Fermata autobus Jedin Sanseverino, Trento Italy
Fermata autobus Parco del Dos Trent, Trento Italy
Fermata autobus Cognola Scuole, Trento Italy
Fermata autobus Maccani Ex Sloi, Trento Italy
Fermata autobus Villamontagna P.Predaroi, Trento Italy
Fermata autobus Tavernaro Villa Clementi, Trento Italy
Fermata autobus Crosare Parcheggio, Trento Italy
46.0972473213584, 11.119798663400564
Fermata autobus S.Pio X Benevoli, Trento Italy
Fermata autobus Povo Piazza Manci, Trento Italy
Fermata autobus Lavis Municipio, Trento Italy
46.10127945337576, 11.101582113747552
Fermata autobus Interporto Interbrennero, Trento Italy
Fermata autobus Pasubio Adamello, Trento Italy
Fermata autobus S.Francesco Porta Nuova, Trento Italy
Fermata autobus Meano Bivio S.Lazzaro, Trento Italy
Fermata autobus F.Lli Fontana Gen. Cantore, Trento Italy
Fermata autobus Gardolo Materna Paludi, Trento Italy
Fermata autobus Mattarello Rio Stolzano, Trento Italy
Fermata autobus Lamar Via Rossa, Trento Italy
Fermata autobus Mattarello Parco, Trento Italy
Fermata autobus Gardolo Castel di Gardolo, Trento Italy
Fermata autobus Bolghera S.Antonio, Trento Italy
Fermata autobus Ss 12 Canova, Trento Italy
Fermata autobus Meano Centro Civico, Trento Italy
Fermata autobus Brigata Acqui Itc Tambosi, Trento Italy
Fermata autobus Cognola Chiesa, Trento Italy
Fermata autobus Sopramonte Campra, Trento Italy
Fermata autobus Gardolo 4 Nov. Piscina, Trento Italy
46.01201630554474, 11.130486698093764
Fermata autobus Martignano Piazza Canopi, Trento Italy
Fermata autobus Spini Klagenfurt, Trento Italy
Fermata autobus Spini Palazzine, Trento Italy
Fermata autobus Cervara Cereria, Trento Italy
46.04550165940642, 11.11351783122439
46.070183472106294, 11.128015829003227
Fermata autobus Interporto Logistica 2, Trento Italy
Fermata autobus Villazzano Villa De Mersi, Trento Italy
Fermata autobus Ghiaie Monte Baldo, Trento Italy
Fermata autobus M.Vaccino Maso Librar, Trento Italy
Fermata autobus Canova Aichner, Trento Italy
Fermata autobus Gardolo Svincolo Ss.12, Trento Italy
Fermata autobus Cognola Alla Veduta Roza, Trento Italy
46.08329843455789, 11.064201567938111
